timestamp_utc,stage,detail
2026-08-14T13:35:34.924355+00:00,client_ok,Gale paper client constructed
2026-08-14T13:35:34.928405+00:00,skip_extreme,FGI: relvol=789.8 > 50.0
2026-08-14T13:35:34.930817+00:00,skip_extreme,FRGT: relvol=131.5 > 50.0
2026-08-14T13:35:34.932791+00:00,skip_extreme,DFSC: relvol=2377.4 > 50.0
2026-08-14T13:35:35.171295+00:00,equity,100000.00
2026-08-14T13:35:36.877403+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=3
2026-08-14T13:35:36.880100+00:00,entry_watching,AIRO: no fresh ORB5 signal
2026-08-14T13:35:36.881924+00:00,entry_watching,LNSR: no fresh ORB5 signal
2026-08-14T13:35:36.883754+00:00,entry_watching,RRGB: no fresh ORB5 signal
2026-08-14T13:40:31.796196+00:00,client_ok,Gale paper client constructed
2026-08-14T13:40:31.801372+00:00,skip_extreme,FGI: relvol=789.8 > 50.0
2026-08-14T13:40:31.803303+00:00,skip_extreme,FRGT: relvol=131.5 > 50.0
2026-08-14T13:40:31.804984+00:00,skip_extreme,DFSC: relvol=2377.4 > 50.0
2026-08-14T13:40:32.002511+00:00,equity,100000.00
2026-08-14T13:40:33.902508+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=3
2026-08-14T13:40:33.905050+00:00,entry_watching,AIRO: no fresh ORB5 signal
2026-08-14T13:40:33.906862+00:00,entry_watching,LNSR: no fresh ORB5 signal
2026-08-14T13:40:33.908578+00:00,entry_watching,RRGB: no fresh ORB5 signal
2026-08-14T13:45:28.147788+00:00,client_ok,Gale paper client constructed
2026-08-14T13:45:28.153000+00:00,skip_extreme,FGI: relvol=789.8 > 50.0
2026-08-14T13:45:28.155005+00:00,skip_extreme,FRGT: relvol=131.5 > 50.0
2026-08-14T13:45:28.156772+00:00,skip_extreme,HHS: relvol=103.7 > 50.0
2026-08-14T13:45:28.247516+00:00,equity,100000.00
2026-08-14T13:45:29.026384+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=3
2026-08-14T13:45:29.028998+00:00,entry_watching,AKAN: no fresh ORB5 signal
2026-08-14T13:45:29.030927+00:00,entry_watching,RRGB: no fresh ORB5 signal
2026-08-14T13:45:29.032617+00:00,entry_watching,WETO: no fresh ORB5 signal
2026-08-14T13:50:28.507395+00:00,client_ok,Gale paper client constructed
2026-08-14T13:50:28.512987+00:00,skip_extreme,FGI: relvol=789.8 > 50.0
2026-08-14T13:50:28.515129+00:00,skip_extreme,FRGT: relvol=131.5 > 50.0
2026-08-14T13:50:28.517004+00:00,skip_extreme,HHS: relvol=103.7 > 50.0
2026-08-14T13:50:28.609686+00:00,equity,100000.00
2026-08-14T13:50:29.314468+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=3
2026-08-14T13:50:29.317103+00:00,entry_watching,AKAN: no fresh ORB5 signal
2026-08-14T13:50:29.318884+00:00,entry_watching,RRGB: no fresh ORB5 signal
2026-08-14T13:50:29.320642+00:00,entry_watching,WETO: no fresh ORB5 signal
2026-08-14T13:55:26.023447+00:00,client_ok,Gale paper client constructed
2026-08-14T13:55:26.029572+00:00,skip_extreme,FGI: relvol=789.8 > 50.0
2026-08-14T13:55:26.031985+00:00,skip_extreme,FRGT: relvol=131.5 > 50.0
2026-08-14T13:55:26.034014+00:00,skip_extreme,HHS: relvol=103.7 > 50.0
2026-08-14T13:55:26.139425+00:00,equity,100000.00
2026-08-14T13:55:26.904567+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=3
2026-08-14T13:55:26.907400+00:00,entry_watching,AKAN: no fresh ORB5 signal
2026-08-14T13:55:26.909418+00:00,entry_watching,RRGB: no fresh ORB5 signal
2026-08-14T13:55:26.911318+00:00,entry_watching,WETO: no fresh ORB5 signal
2026-08-14T14:00:31.453535+00:00,client_ok,Gale paper client constructed
2026-08-14T14:00:31.458622+00:00,skip_extreme,HHS: relvol=121.0 > 50.0
2026-08-14T14:00:31.460804+00:00,skip_extreme,CGTL: relvol=118.1 > 50.0
2026-08-14T14:00:31.684258+00:00,equity,100000.00
2026-08-14T14:00:33.146495+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=3
2026-08-14T14:00:33.149450+00:00,entry_watching,AKAN: no fresh ORB5 signal
2026-08-14T14:00:33.151486+00:00,entry_watching,LBGJ: no fresh ORB5 signal
2026-08-14T14:00:33.153316+00:00,entry_watching,WETO: no fresh ORB5 signal
2026-08-14T14:05:40.229510+00:00,client_ok,Gale paper client constructed
